Ürün Adý,2019 KDV (%),2019 Ýthalat Vergisi (%),2020 KDV (%),2020 Ýthalat Vergisi (%),2021 KDV (%),2021 Ýthalat Vergisi (%),2022 KDV (%),2022 Ýthalat Vergisi (%),2023 KDV (%),2023 Ýthalat Vergisi (%),2024 KDV (%),2024 Ýthalat Vergisi (%)
kýyma,8,45,1,50,8,55,8,60,8,65,8,70
tavuk,8,40,1,45,8,50,8,55,8,60,8,65
hindi,8,50,1,55,8,60,8,65,8,70,8,75
Bakla-kuru,8,25,8,30,8,35,8,40,8,45,8,50
Bakla-taze,8,30,1,35,8,40,8,45,8,50,8,55
Bamya,8,35,1,40,8,45,8,50,8,55,8,60
Barbunya-kuru,8,25,8,30,8,35,8,40,8,45,8,50
Bezelye-taze,8,30,1,35,8,40,8,45,8,50,8,55
Biber-yeþil,8,35,1,40,8,45,8,50,8,55,8,60
Brüksel laha.,8,40,1,45,8,50,8,55,8,60,8,65
Domates,8,35,1,40,8,45,8,50,8,55,8,60
Enginar,8,40,1,45,8,50,8,55,8,60,8,65
Fasulye-kuru,8,25,8,30,8,35,8,40,8,45,8,50
Fasulye-taze,8,30,1,35,8,40,8,45,8,50,8,55
Havuç,8,30,1,35,8,40,8,45,8,50,8,55
Salatalýk,8,35,1,40,8,45,8,50,8,55,8,60
Ispanak,8,30,1,35,8,40,8,45,8,50,8,55
Kabak,8,35,1,40,8,45,8,50,8,55,8,60
Karnabahar,8,40,1,45,8,50,8,55,8,60,8,65
Kereviz-baþ,8,35,1,40,8,45,8,50,8,55,8,60
Kýrmýzý-pancar,8,30,1,35,8,40,8,45,8,50,8,55
Lahana,8,30,1,35,8,40,8,45,8,50,8,55
Mantar,8,40,1,45,8,50,8,55,8,60,8,65
Marul,8,25,1,30,8,35,8,40,8,45,8,50
Mercimek-kuru,8,20,8,25,8,30,8,35,8,40,8,45
Nohut,8,25,8,30,8,35,8,40,8,45,8,50
Pancar,8,30,1,35,8,40,8,45,8,50,8,55
Patates,8,35,1,40,8,45,8,50,8,55,8,60
Patlýcan,8,35,1,40,8,45,8,50,8,55,8,60
Pazý,8,30,1,35,8,40,8,45,8,50,8,55
Pýrasa,8,35,1,40,8,45,8,50,8,55,8,60
Semizotu,8,25,1,30,8,35,8,40,8,45,8,50
Buðday ekmeði,8,20,1,25,8,30,8,35,8,40,8,45
Bulgur,8,15,1,20,8,25,8,30,8,35,8,40
Eriþte,8,25,8,30,8,35,8,40,8,45,8,50
Makarna,8,25,8,30,8,35,8,40,8,45,8,50
Mýsýr,8,20,1,25,8,30,8,35,8,40,8,45
Mýsýr unu,8,25,8,30,8,35,8,40,8,45,8,50
Niþasta,8,30,8,35,8,40,8,45,8,50,8,55
Pilav,8,25,8,30,8,35,8,40,8,45,8,50
Pirinç unu,8,25,8,30,8,35,8,40,8,45,8,50
Þehriye,8,25,8,30,8,35,8,40,8,45,8,50
Tarhana,8,20,1,25,8,30,8,35,8,40,8,45
Yulaf unu,8,25,8,30,8,35,8,40,8,45,8,50
yumurta,8,30,1,35,8,40,8,45,8,50,8,55
beyaz peynir,8,40,1,45,8,50,8,55,8,60,8,65
Kaþar peyniri,8,45,1,50,8,55,8,60,8,65,8,70
krema,8,50,8,55,8,60,8,65,8,70,8,75
yoðurt,8,35,1,40,8,45,8,50,8,55,8,60
sucuk,18,55,18,60,18,65,18,70,18,75,18,80
salam,18,55,18,60,18,65,18,70,18,75,18,80
sosis,18,55,18,60,18,65,18,70,18,75,18,80
tam buðday ekmek,8,20,1,25,8,30,8,35,8,40,8,45
kaymak,18,60,18,65,18,70,18,75,18,80,18,85
bal,8,40,1,45,8,50,8,55,8,60,8,65
tereyað,8,50,1,55,8,60,8,65,8,70,8,75
Armut,8,35,1,40,8,45,8,50,8,55,8,60
Çilek,8,40,1,45,8,50,8,55,8,60,8,65
Elma,8,30,1,35,8,40,8,45,8,50,8,55
Erik türleri,8,35,1,40,8,45,8,50,8,55,8,60
Ýncir,8,40,1,45,8,50,8,55,8,60,8,65
Karadut,8,45,1,50,8,55,8,60,8,65,8,70
Karpuz,8,30,1,35,8,40,8,45,8,50,8,55
Kavun,8,35,1,40,8,45,8,50,8,55,8,60
Kayýsý,8,40,1,45,8,50,8,55,8,60,8,65
Kiraz,8,45,1,50,8,55,8,60,8,65,8,70
Limon,8,35,1,40,8,45,8,50,8,55,8,60
Mandalina,8,30,1,35,8,40,8,45,8,50,8,55
Muz,8,50,1,55,8,60,8,65,8,70,8,75
Nar,8,40,1,45,8,50,8,55,8,60,8,65
Portakal,8,35,1,40,8,45,8,50,8,55,8,60
Þeftali,8,40,1,45,8,50,8,55,8,60,8,65
Üzüm,8,35,1,40,8,45,8,50,8,55,8,60
Viþne,8,45,1,50,8,55,8,60,8,65,8,70
fýndýk,8,25,8,30,8,35,8,40,8,45,8,50
fýstýk,8,30,8,35,8,40,8,45,8,50,8,55
kaju,8,35,8,40,8,45,8,50,8,55,8,60
badem,8,30,8,35,8,40,8,45,8,50,8,55
ceviz,8,25,8,30,8,35,8,40,8,45,8,50
